route_id,flight_number,airline_id,source_airport_id,destination_airport_id,scheduled_departure_time,scheduled_arrival_time,arrival_day_offset
1,3K2239,34,66,15,15:31:00,21:53:00,0
2,3K2297,34,66,15,06:46:00,13:08:00,0
3,3K2683,34,23,43,10:20:00,20:06:00,0
4,3K2835,34,66,15,07:27:00,13:49:00,0
5,3K2845,34,23,22,12:13:00,19:59:00,0
6,3K3445,34,15,66,03:48:00,10:10:00,0
7,3K3589,34,22,23,09:15:00,17:01:00,0
8,3K3711,34,15,23,10:38:00,19:36:00,0
9,3K3934,34,23,81,14:17:00,22:27:00,0
10,3K3951,34,23,81,11:02:00,19:12:00,0
11,3K3980,34,23,81,13:25:00,21:35:00,0
12,3K4093,34,23,43,15:57:00,01:43:00,1
13,3K4488,34,15,66,08:31:00,14:53:00,0
14,3K4688,34,22,23,15:19:00,23:05:00,0
15,3K4906,34,23,15,08:54:00,17:52:00,0
16,3K5004,34,15,23,07:51:00,16:49:00,0
17,3K5380,34,22,23,08:29:00,16:15:00,0
18,3K5484,34,43,23,12:04:00,21:50:00,0
19,3K6021,34,23,81,09:07:00,17:17:00,0
20,3K6757,34,43,23,06:48:00,16:34:00,0
21,3K7545,34,22,23,06:12:00,13:58:00,0
22,3K7985,34,75,23,12:49:00,19:54:00,0
23,3K8249,34,66,15,09:37:00,15:59:00,0
24,3K8562,34,81,23,14:54:00,23:04:00,0
25,3K8601,34,75,23,11:20:00,18:25:00,0
26,3K8703,34,23,75,15:36:00,22:41:00,0
27,3K9488,34,23,15,12:23:00,21:21:00,0
28,3K9721,34,23,15,07:17:00,16:15:00,0
29,3K9826,34,23,43,11:58:00,21:44:00,0
30,3K9885,34,15,66,21:29:00,03:51:00,1
31,3K9889,34,43,23,06:32:00,16:18:00,0
32,3K9982,34,75,23,14:58:00,22:03:00,0
33,3U1002,74,28,76,08:50:00,13:52:00,0
34,3U1018,74,39,79,08:39:00,15:06:00,0
35,3U1022,74,52,22,09:47:00,15:11:00,0
36,3U1024,74,74,68,14:14:00,19:17:00,0
37,3U1031,74,31,68,13:10:00,16:33:00,0
38,3U1032,74,79,57,19:46:00,01:33:00,1
39,3U1034,74,41,50,14:56:00,19:18:00,0
